Id,Code,AreaCode,Name,ShortName,Longitude,Latitude,Sort,Memo,Disabled
1,110101001,110101,东华门街道,东华门街道,116.409607,39.917973,5,,false
2,110101002,110101,景山街道,景山街道,116.410049,39.92688,12,,false
3,110101003,110101,交道口街道,交道口街道,116.405479,39.9366,11,,false
4,110101004,110101,安定门街道,安定门街道,116.403862,39.944294,1,,false
5,110101005,110101,北新桥街道,北新桥街道,116.424095,39.942024,2,,false
6,110101006,110101,东四街道,东四街道,116.423729,39.93026,7,,false
7,110101007,110101,朝阳门街道,朝阳门街道,116.428055,39.9188,3,,false
8,110101008,110101,建国门街道,建国门街道,116.426224,39.910351,10,,false
9,110101009,110101,东直门街道,东直门街道,116.440498,39.934071,8,,false
10,110101010,110101,和平里街道,和平里街道,116.42347,39.954552,9,,false
11,110101011,110101,前门街道,前门街道,116.40834,39.898033,14,,false
12,110101012,110101,崇文门外街道,崇文门外街道,116.412598,39.89743,4,,false
13,110101013,110101,东花市街道,东花市街道,116.429489,39.899067,6,,false
14,110101014,110101,龙潭街道,龙潭街道,116.436722,39.887169,13,,false
15,110101015,110101,体育馆路街道,体育馆路街道,116.418755,39.917545,16,,false
16,110101016,110101,天坛街道,天坛街道,116.40004,39.889736,15,,false
17,110101017,110101,永定门外街道,永定门外街道,116.401382,39.866001,17,,false
18,110102001,110102,西长安街街道,西长安街街道,116.366791,39.91531,13,,false
19,110102003,110102,新街口街道,新街口街道,116.370972,39.943054,12,,false
20,110102007,110102,月坛街道,月坛街道,116.344398,39.915092,14,,false
21,110102009,110102,展览路街道,展览路街道,116.366791,39.91531,15,,false
22,110102010,110102,德胜街道,德胜街道,116.366791,39.91531,4,,false
23,110102011,110102,金融街街道,金融街街道,116.366791,39.91531,7,,false
24,110102012,110102,什刹海街道,什刹海街道,116.366791,39.91531,9,,false
25,110102013,110102,大栅栏街道,大栅栏街道,116.39399,39.893547,3,,false
26,110102014,110102,天桥街道,天桥街道,116.386925,39.884876,11,,false
27,110102015,110102,椿树街道,椿树街道,116.375763,39.899055,2,,false
28,110102016,110102,陶然亭街道,陶然亭街道,116.380646,39.883484,10,,false
29,110102017,110102,广安门内街道,广安门内街道,116.362999,39.889526,5,,false
30,110102018,110102,牛街街道,牛街街道,116.366791,39.91531,8,,false
31,110102019,110102,白纸坊街道,白纸坊街道,116.363579,39.877087,1,,false
32,110102020,110102,广安门外街道,广安门外街道,116.340057,39.890453,6,,false
33,110105001,110105,建外街道,建外街道,116.486412,39.92149,18,,false
34,110105002,110105,朝外街道,朝外街道,116.486412,39.92149,5,,false
35,110105003,110105,呼家楼街道,呼家楼街道,116.464325,39.920929,16,,false
36,110105004,110105,三里屯街道,三里屯街道,116.447914,39.937122,29,,false
37,110105005,110105,左家庄街道,左家庄街道,116.451515,39.949432,43,,false
38,110105006,110105,香河园街道,香河园街道,116.43911,39.961151,39,,false
39,110105007,110105,和平街街道,和平街街道,116.486412,39.92149,15,,false
40,110105008,110105,安贞街道,安贞街道,116.401085,39.96804,1,,false
41,110105009,110105,亚运村街道,亚运村街道,116.409248,39.984192,42,,false
42,110105010,110105,小关街道,小关街道,116.412659,39.977505,40,,false
43,110105011,110105,酒仙桥街道,酒仙桥街道,116.490242,39.964268,21,,false
44,110105012,110105,麦子店街道,麦子店街道,116.472198,39.946911,24,,false
45,110105013,110105,团结湖街道,团结湖街道,116.462578,39.931461,35,,false
46,110105014,110105,六里屯街道,六里屯街道,116.479851,39.928219,23,,false
47,110105015,110105,八里庄街道,八里庄街道,116.478851,39.914959,3,,false
48,110105016,110105,双井街道,双井街道,116.449379,39.887966,32,,false
49,110105017,110105,劲松街道,劲松街道,116.460236,39.88493,19,,false
50,110105018,110105,潘家园街道,潘家园街道,116.451332,39.874855,26,,false
51,110105019,110105,垡头街道,垡头街道,116.51088,39.867611,11,,false
52,110105021,110105,南磨房,南磨房,116.478004,39.883575,25,,false
53,110105022,110105,高碑店,高碑店,116.533867,39.904636,12,,false
54,110105023,110105,将台,将台,116.488976,39.96888,17,,false
55,110105024,110105,太阳宫,太阳宫,116.44297,39.973053,34,,false
56,110105025,110105,大屯街道,大屯街道,116.486412,39.92149,7,,false
57,110105026,110105,望京街道,望京街道,116.46936,39.992771,36,,false
58,110105027,110105,小红门,小红门,116.448891,39.813721,41,,false
59,110105028,110105,十八里店,十八里店,116.482971,39.851437,30,,false
60,110105029,110105,平房,平房,116.486412,39.92149,27,,false
61,110105030,110105,东风,东风,116.486412,39.92149,9,,false
62,110105031,110105,奥运村街道,奥运村街道,116.486412,39.92149,2,,false
63,110105032,110105,来广营,来广营,116.433525,40.032036,22,,false
64,110105033,110105,常营,常营,116.586838,39.93235,4,,false
65,110105034,110105,三间房,三间房,116.580421,39.907997,28,,false
66,110105035,110105,管庄,管庄,116.593246,39.91074,13,,false
67,110105036,110105,金盏,金盏,116.568649,40.003006,20,,false
68,110105037,110105,孙河,孙河,116.52356,40.041115,33,,false
69,110105038,110105,崔各庄,崔各庄,116.515221,40.000652,6,,false
70,110105039,110105,东坝,东坝,116.546272,39.968742,8,,false
71,110105040,110105,黑庄户,黑庄户,116.596657,39.853325,14,,false
72,110105041,110105,豆各庄,豆各庄,116.572556,39.873047,10,,false
73,110105042,110105,王四营,王四营,116.530945,39.875202,38,,false
74,110105043,110105,首都机场街道,首都机场街道,116.591217,40.048229,31,,false
75,110105501,110105,望京开发街道,望京开发街道,116.486412,39.92149,37,,false
76,110106001,110106,右安门街道,右安门街道,116.370247,39.861198,18,,false
77,110106002,110106,太平桥街道,太平桥街道,116.320007,39.8834,13,,false
78,110106003,110106,西罗园街道,西罗园街道,116.384293,39.86441,16,,false
79,110106004,110106,大红门街道,大红门街道,116.407379,39.838314,1,,false
80,110106005,110106,南苑街道,南苑街道,116.393547,39.805305,12,,false
81,110106006,110106,东高地街道,东高地街道,116.420662,39.807209,2,,false
