Id,Code,Name,ShortName,Longitude,Latitude,Sort,Memo,Disabled
1,110000,北京,北京,116.405289,39.904987,1,,false
2,120000,天津,天津,117.190186,39.125595,2,,false
3,130000,河北省,河北,114.502464,38.045475,3,,false
4,140000,山西省,山西,112.549248,37.857014,4,,false
5,150000,内蒙古自治区,内蒙古,111.670799,40.81831,5,,false
6,210000,辽宁省,辽宁,123.429092,41.796768,6,,false
7,220000,吉林省,吉林,125.324501,43.886841,7,,false
8,230000,黑龙江省,黑龙江,126.642464,45.756966,8,,false
9,310000,上海,上海,121.472641,31.231707,9,,false
10,320000,江苏省,江苏,118.76741,32.041546,10,,false
11,330000,浙江省,浙江,120.15358,30.287458,11,,false
12,340000,安徽省,安徽,117.283043,31.861191,12,,false
13,350000,福建省,福建,119.306236,26.075302,13,,false
14,360000,江西省,江西,115.892151,28.676493,14,,false
15,370000,山东省,山东,117.000923,36.675808,15,,false
16,410000,河南省,河南,113.665413,34.757977,16,,false
17,420000,湖北省,湖北,114.298569,30.584354,17,,false
18,430000,湖南省,湖南,112.982277,28.19409,18,,false
19,440000,广东省,广东,113.28064,23.125177,19,,false
20,450000,广西壮族自治区,广西,108.320007,22.82402,20,,false
21,460000,海南省,海南,110.331192,20.031971,21,,false
22,500000,重庆,重庆,106.504959,29.533155,22,,false
23,510000,四川省,四川,104.065735,30.659462,23,,false
24,520000,贵州省,贵州,106.713478,26.578342,24,,false
25,530000,云南省,云南,102.71225,25.040609,25,,false
26,540000,西藏自治区,西藏,91.13221,29.66036,26,,false
27,610000,陕西省,陕西,108.948021,34.263161,27,,false
28,620000,甘肃省,甘肃,103.823555,36.058041,28,,false
29,630000,青海省,青海,101.778915,36.623177,29,,false
30,640000,宁夏回族自治区,宁夏,106.278175,38.46637,30,,false
31,650000,新疆维吾尔自治区,新疆,87.617729,43.792816,31,,false
32,710000,台湾,台湾,121.509064,25.044333,34,,false
33,810000,香港特别行政区,香港,114.173355,22.320047,32,,false
34,820000,澳门特别行政区,澳门,113.549088,22.198952,33,,false
